week_start,tv_spend,digital_spend,social_spend,revenue
2023-01-01,11648.07,5532.58,723.23,51854.57
2023-01-08,8748.62,5929.56,3340.32,68699.83
2023-01-15,8357.79,3887.68,2203.83,68491.25
2023-01-22,8357.85,4928.57,4439.42,70876.52
2023-01-29,17953.97,1110.48,2202.93,77377.93
2023-02-05,13057.17,3770.73,5735.31,87173.8
2023-02-12,7448.36,4696.92,2408.26,82714.93
2023-02-19,11879.18,3502.66,2469.34,83041.48
2023-02-26,10418.25,6958.89,6278.28,91792.22
2023-03-05,3267.29,3283.83,1549.94,66327.92
2023-03-12,5605.66,4471.95,863.33,64478.91
2023-03-19,10757.94,5156.89,175.23,71607.86
2023-03-26,17205.7,6729.53,4221.17,98618.29
2023-04-02,8391.46,3276.97,2905.2,79982.81
2023-04-09,7173.37,6395.8,3653.0,84317.74
2023-04-16,9820.82,5012.28,1436.89,79677.23
2023-04-23,6971.36,3822.19,879.68,71153.98
2023-04-30,8128.94,5554.52,87.91,72746.53
2023-05-07,9275.14,5238.87,1295.06,75473.35
2023-05-14,5468.76,4279.74,2674.19,67126.61
2023-05-21,13357.27,5083.76,1493.95,78863.86
2023-05-28,4989.93,4537.62,1725.96,68775.32
2023-06-04,4690.62,5136.22,7035.18,72285.19
2023-06-11,10209.97,5794.56,1284.31,75016.82
2023-06-18,12901.24,6903.22,2164.58,88518.67
2023-06-25,10093.48,3514.62,4592.62,83344.89
2023-07-02,8842.54,7559.64,1515.24,87997.62
2023-07-09,8091.92,2657.49,2919.27,69885.46
2023-07-16,7481.25,4817.86,5949.42,77692.47
2023-07-23,14686.14,5705.98,8958.57,95169.95
2023-07-30,10804.72,5337.19,954.49,83758.46
2023-08-06,7766.49,4252.76,7834.99,81612.91
2023-08-13,6703.54,4750.25,2032.51,70645.82
2023-08-20,12233.36,4408.4,1792.41,76779.06
2023-08-27,14533.98,4292.76,1843.76,84373.26
2023-09-03,13962.81,6019.52,11740.96,108166.51
2023-09-10,6156.76,5428.42,2035.47,85387.6
2023-09-17,8060.11,4168.51,1195.85,73030.86
2023-09-24,7412.36,6079.52,3010.46,78014.06
2023-10-01,8553.95,5368.76,1647.77,70934.83
2023-10-08,13302.37,5975.43,473.37,83227.94
2023-10-15,16504.76,5755.55,827.85,94501.61
2023-10-22,10984.59,4005.21,822.11,81750.93
2023-10-29,6814.34,4327.78,988.56,76327.6
2023-11-05,9179.4,5896.75,896.76,79037.8
2023-11-12,17856.78,5732.44,3072.25,95891.08
2023-11-19,9714.49,4974.92,1204.48,87877.92
2023-11-26,8100.16,5140.79,1272.42,83835.01
2023-12-03,8416.05,6533.2,6812.92,91525.08
2023-12-10,10962.82,4290.11,1927.14,83931.81
2023-12-17,6257.89,5656.52,3303.87,80040.92
2023-12-24,7329.0,4757.37,1134.77,72674.3
2023-12-31,13873.27,4738.78,1281.31,84831.19
2024-01-07,10826.97,6318.53,250.36,87235.16
2024-01-14,9759.07,5990.5,1110.28,88010.04
2024-01-21,14175.04,5976.21,1959.29,92689.76
2024-01-28,6616.84,6566.57,1168.87,86389.39
2024-02-04,7988.04,5025.2,557.32,77477.31
2024-02-11,10672.07,5818.34,771.34,83379.23
2024-02-18,10507.26,4627.68,1852.89,80292.28
2024-02-25,4456.53,5389.0,1386.55,72475.41
2024-03-03,7631.35,4843.83,1358.94,69688.44
2024-03-10,8653.7,5116.4,2100.02,73763.73
2024-03-17,11190.13,5714.19,3517.37,84770.41
2024-03-24,10490.89,4018.14,240.63,78807.8
2024-03-31,9015.37,7510.86,4819.48,90222.47
2024-04-07,3255.52,3792.78,2965.78,70356.9
2024-04-14,9219.25,3542.97,511.77,68930.61
2024-04-21,9595.98,6389.73,6204.4,85524.1
2024-04-28,24533.29,5950.0,7610.08,120167.45
2024-05-05,8526.66,5748.94,378.14,96276.75
2024-05-12,10697.73,5754.01,1945.06,91913.48
2024-05-19,15192.77,4985.3,4922.81,98074.18
2024-05-26,12973.57,3923.29,4138.07,98568.36
2024-06-02,16800.64,5090.97,1223.88,103572.14
